Emotion word,MC1,MC2,MC3,HK1,HK2,HK3,SG1,SG2,SG3
,Mean intensity (SD),"1st type (%),
 2nd type (%)","POS%, NEG%, NEU%",Mean intensity (SD),"1st type (%),
 2nd type (%)","POS%, NEG%, NEU%",Mean intensity (SD),"1st type (%),
 2nd type (%)","POS%, NEG%, NEU%"
哀愁 aichou ‘sad’,5.25 (1.3),"Sd (100), NA (NA)","0, 91.7, 8.3",5.68 (1.1),"Sd (100), NA (NA)","0, 86.4, 13.6",5.93 (0.85),"Sd (100), NA (NA)","0, 86.7, 13.3"
爱好 aihao ‘interested’,4 (1.86),"Hp (77.3), Nu (18.2)","68.2, 0, 31.8",2.9 (1.8),"Hp (47.6), Nu (38.1)","55, 0, 45",2.85 (1.85),"Nu (40), Hp (40)","47.4, 5.3, 47.4"
哀戚 aiqi ‘sad’,5.45 (1.37),"Sd (95.7), Un (4.3)","0, 77.3, 22.7",5.16 (0.87),"Sd (86.4), Un (13.6)","0, 100, 0",5.13 (0.7),"Sd (69.6), Un (30.4)","0, 87.5, 12.5"
哀伤 aishang ‘sad’,5.21 (1.04),"Sd (95.8), Ax (4.2)","0, 79.2, 20.8",5.68 (0.82),"Sd (100), NA (NA)","0, 81.8, 18.2",6.07 (0.57),"Sd (100), NA (NA)","0, 93.3, 6.7"
哀痛 aitong ‘grief’,6.18 (0.83),"Sd (100), NA (NA)","4.5, 86.4, 9.1",5.71 (1.2),"Sd (100), NA (NA)","4.8, 85.7, 9.5",6 (1),"Sd (95), Ax (5)","0, 78.9, 21.1"
哀怨 aiyuan ‘sad’,5.3 (1),"Sd (87), Ag (8.7)","0, 82.6, 17.4",5.59 (0.89),"Sd (95.5), Dg (4.5)","4.5, 90.9, 4.5",5.35 (0.7),"Sd (78.3), Ag (13)","0, 91.3, 8.7"
安宁 anning ‘peaceful’,2.23 (1.81),"Nu (50), Ot (36.4)","47.6, 0, 52.4",2.71 (1.64),"Ot (52.4), Nu (28.6)","57.1, 0, 42.9",2.65 (1.42),"Ot (55), Nu (30)","50, 0, 50"
安心 anxin ‘relieved’,3.57 (1.81),"Hp (43.5), Ot (43.5)","82.6, 0, 17.4",4.55 (1.16),"Hp (68.2), Ot (27.3)","100, 0, 0",3.68 (1.84),"Ot (57.9), Hp (31.6)","89.5, 0, 10.5"
懊悔 aohui ‘regretful’,5 (0.78),"Ot (39.1), Sd (39.1)","4.3, 69.6, 26.1",5.24 (0.87),"Sd (50), Ot (22.7)","0, 100, 0",5.26 (1.15),"Sd (60.9), Ot (26.1)","0, 78.3, 21.7"
懊恼 aonao ‘annoyed’,5.54 (1),"Ax (45.8), Sd (33.3)","0, 87.5, 12.5",4.64 (1.11),"Ax (63.6), Ot (13.6)","0, 77.3, 22.7",4.87 (0.88),"Ax (53.3), Ot (13.3)","0, 66.7, 33.3"
懊丧 aosang ‘depressed’,5.18 (1.07),"Sd (47.8), Ot (34.8)","0, 81.8, 18.2",5.41 (1.03),"Sd (63.6), Un (22.7)","5.9, 88.2, 5.9",5.38 (1.11),"Sd (68.4), Un (15.8)","6.3, 87.5, 6.3"
熬心 aoxin ‘anxious’,5.55 (1.02),"Ax (62.5), Un (16.7)","10, 80, 10",5.67 (0.94),"Un (59.1), Ax (27.3)","11.1, 66.7, 22.2",4.38 (1.98),"Ax (26.7), Nu (20)","0, 69.2, 30.8"
暴怒 bao ‘rage’,6.96 (0.2),"Ag (100), NA (NA)","0, 87, 13",6.18 (0.98),"Ag (100), NA (NA)","0, 100, 0",6.47 (0.68),"Ag (100), NA (NA)","0, 100, 0"
抱愧 baokui ‘ashamed’,4.96 (1.3),"Ot (52.2), Sd (26.1)","8.7, 52.2, 39.1",4.95 (1),"Sd (45.5), Ot (22.7)","4.8, 85.7, 9.5",4.64 (0.89),"Ot (47.4), Un (26.3)","0, 64.3, 35.7"
抱歉 baoqian ‘apologetic’,3.83 (1.65),"Ot (54.2), Sd (20.8)","4.2, 20.8, 75",4 (1.09),"Ot (59.1), Sd (27.3)","4.5, 40.9, 54.5",4.2 (1.42),"Sd (46.7), Ot (46.7)","13.3, 0, 86.7"
抱委屈 baoweiqu ‘feel wronged’,4.85 (1.42),"Sd (68.2), Ot (9.1)","0, 70, 30",5.33 (0.89),"Sd (61.9), Ot (14.3)","0, 100, 0",4.56 (1.3),"Sd (50), Ot (20)","0, 77.8, 22.2"
悲哀 beiai ‘sad’,5.95 (0.77),"Sd (100), NA (NA)","0, 86.4, 13.6",5.71 (0.93),"Sd (100), NA (NA)","0, 85.7, 14.3",5.75 (0.99),"Sd (95), Ax (5)","0, 85, 15"
悲愁 beichou ‘sad’,5.74 (0.9),"Sd (91.3), Ot (4.3)","0, 69.6, 30.4",5.57 (1.29),"Sd (100), NA (NA)","0, 100, 0",5.32 (1.03),"Sd (89.5), Ot (5.3)","5.3, 89.5, 5.3"
悲怆 beichuang ‘grief’,6.52 (0.79),"Sd (86.4), Ot (9.1)","19, 61.9, 19",6.18 (1.04),"Sd (81), Un (19)","0, 88.2, 11.8",5.47 (0.94),"Sd (90), Un (5)","5.3, 73.7, 21.1"
悲愤 beifen ‘sad’,6.22 (0.59),"Ag (69.6), Sd (21.7)","4.3, 56.5, 39.1",6.05 (0.88),"Ag (72.7), Sd (22.7)","9.1, 90.9, 0",5.57 (0.97),"Ag (52.2), Sd (39.1)","0, 95.7, 4.3"
背悔 beihui ‘regretful’,5.24 (0.81),"Sd (69.6), Dg (8.7)","0, 52.4, 47.6",4.83 (1.61),"Sd (36.4), Un (18.2)","0, 83.3, 16.7",5.23 (0.58),"Sd (47.4), Un (31.6)","0, 92.3, 7.7"
悲凉 beiliang ‘desolate’,5.78 (1.25),"Sd (95.7), Ot (4.3)","0, 78.3, 21.7",5.82 (0.98),"Sd (100), NA (NA)","0, 100, 0",4.95 (1.36),"Sd (84.2), Ot (10.5)","0, 89.5, 10.5"
悲凄 beiqi ‘sad’,6.09 (0.85),"Sd (95.5), Ax (4.5)","0, 95.5, 4.5",5.95 (1),"Sd (100), NA (NA)","4.8, 81, 14.3",5.65 (0.96),"Sd (95), Ax (5)","0, 95, 5"
悲切 beiqie ‘grief’,6.17 (0.7),"Sd (87), Ot (8.7)","0, 60.9, 39.1",5.7 (1.05),"Sd (90.5), Un (4.8)","0, 95.2, 4.8",4.95 (1.43),"Sd (89.5), Nu (5.3)","0, 84.2, 15.8"
悲伤 beishang ‘sad’,5.38 (1.18),"Sd (100), NA (NA)","4.2, 75, 20.8",5.36 (0.83),"Sd (100), NA (NA)","0, 86.4, 13.6",6.07 (0.85),"Sd (100), NA (NA)","0, 80, 20"
悲恸 beitong ‘grief’,6.64 (0.57),"Sd (100), NA (NA)","4.5, 86.4, 9.1",6.05 (0.92),"Sd (95.2), Un (4.8)","0, 85, 15",5.88 (0.9),"Sd (80), Un (15)","0, 88.2, 11.8"
悲痛 beitong ‘grief’,6.29 (0.73),"Sd (95.8), Fr (4.2)","0, 87.5, 12.5",6.14 (0.69),"Sd (95.5), Ot (4.5)","0, 90.9, 9.1",6.4 (0.71),"Sd (100), NA (NA)","0, 80, 20"
悲壮 beizhuang ‘solemn’,6.05 (0.88),"Sd (68.2), Ot (31.8)","54.5, 22.7, 22.7",5.67 (1.39),"Sd (81), Ot (14.3)","10, 65, 25",5.58 (1.39),"Sd (80), Ot (15)","25, 45, 30"
鄙薄 bibo ‘despise’,5.58 (1.26),"Dg (91.7), Ot (4.2)","4.2, 87.5, 8.3",5.06 (1.09),"Dg (68.2), Un (27.3)","0, 100, 0",5.15 (0.77),"Dg (73.3), Un (13.3)","0, 100, 0"
憋闷 biemen ‘oppressed’,4.55 (1.37),"Ax (39.1), Sd (17.4)","0, 86.4, 13.6",5.09 (1),"Sd (31.8), Ax (31.8)","0, 81.8, 18.2",4.55 (1.28),"Sd (30.4), Ot (21.7)","0, 84.2, 15.8"
憋气 bieqi ‘resentful’,3.91 (1.98),"Ag (47.8), Ot (26.1)","0, 59.1, 40.9",4.21 (1.91),"Ag (52.4), Nu (19)","0, 80, 20",3.06 (1.89),"Nu (36.8), Ot (21.1)","6.3, 31.3, 62.5"
鄙视 bishi ‘contempt’,5.48 (1.25),"Dg (95.7), Ag (4.3)","0, 95.7, 4.3",5.86 (1.1),"Dg (86.4), Ag (9.1)","0, 100, 0",5.2 (1.33),"Dg (60.9), Ot (21.7)","0, 100, 0"
鄙夷 biyi ‘disdain’,5.96 (0.89),"Dg (91.7), Sp (8.3)","0, 95.8, 4.2",5.81 (1.01),"Dg (68.2), Un (27.3)","0, 100, 0",5.64 (0.77),"Dg (33.3), Ot (26.7)","0, 100, 0"
不安 buan ‘restless’,4.35 (1.34),"Ax (65.2), Fr (21.7)","0, 73.9, 26.1",4.77 (1.13),"Ax (54.5), Fr (31.8)","4.5, 90.9, 4.5",4.68 (1.22),"Ax (68.4), Fr (26.3)","0, 94.7, 5.3"
不过意 buguoyi ‘regretful’,3.57 (2.19),"Un (68.2), Ot (13.6)","0, 42.9, 57.1",3.53 (1.65),"Ot (42.9), Un (19)","0, 41.2, 58.8",3.33 (1.65),"Un (40), Ot (35)","0, 33.3, 66.7"
不好过 buhaoguo ‘tough’,4.5 (1.26),"Sd (75), Ax (12.5)","0, 87.5, 12.5",4.36 (1.23),"Sd (72.7), Ot (13.6)","0, 90.9, 9.1",4.47 (0.88),"Sd (80), Ot (13.3)","0, 86.7, 13.3"
不好意思 buhaoyisi ‘embarrassed’,3.3 (1.46),"Ot (82.6), Nu (8.7)","4.3, 17.4, 78.3",2 (1.35),"Nu (54.5), Ot (22.7)","0, 14.3, 85.7",3.11 (2),"Ot (47.4), Nu (36.8)","5.6, 11.1, 83.3"
不快 bukuai ‘unhappy’,4.17 (1.24),"Dg (47.8), Sd (34.8)","0, 87, 13",4.5 (1.16),"Sd (54.5), Ag (22.7)","0, 100, 0",4.05 (1.4),"Sd (34.8), Ag (21.7)","0, 85, 15"
不满 buman ‘dissatisfied’,4.29 (1.17),"Dg (58.3), Ag (37.5)","0, 100, 0",4.77 (1),"Ag (50), Dg (40.9)","0, 95.5, 4.5",4.67 (0.94),"Ag (46.7), Dg (26.7)","0, 86.7, 13.3"
不平 buping ‘angry’,4.09 (1.16),"Ag (63.6), Ot (18.2)","9.1, 36.4, 54.5",4.26 (1.52),"Ag (47.6), Dg (19)","5.3, 68.4, 26.3",3.5 (1.63),"Ag (65), Ot (15)","5, 55, 40"
不悦 buyue ‘unhappy’,3.91 (1.41),"Dg (50), Ag (27.3)","0, 71.4, 28.6",4.38 (1.29),"Dg (52.4), Sd (23.8)","0, 95.2, 4.8",4 (1.34),"Ag (50), Sd (20)","0, 70, 30"
苍凉 cangliang ‘desolate’,5.41 (1.44),"Sd (77.3), Ot (22.7)","4.5, 63.6, 31.8",5.1 (1.44),"Sd (61.9), Ot (28.6)","0, 85.7, 14.3",5.45 (1.12),"Sd (80), Ot (15)","0, 90, 10"
惭愧 cankui ‘ashamed’,4.54 (1.12),"Ot (66.7), Sd (25)","4.2, 58.3, 37.5",4.55 (1.3),"Ot (59.1), Ax (18.2)","9.1, 81.8, 9.1",5.47 (0.96),"Sd (53.3), Ot (26.7)","0, 73.3, 26.7"
惨痛 cantong ‘painful’,6.04 (1.31),"Sd (75), Ot (12.5)","0, 87.5, 12.5",5.91 (1.28),"Sd (90.9), Ot (9.1)","0, 90.9, 9.1",5.93 (0.93),"Sd (60), Ot (33.3)","0, 93.3, 6.7"
操心 caoxin ‘worried’,4.17 (1.49),"Ax (73.9), Ot (8.7)","4.3, 43.5, 52.2",4.41 (1.15),"Ax (77.3), Ot (18.2)","9.1, 63.6, 27.3",4.48 (1.17),"Ax (73.9), Fr (13)","0, 76.2, 23.8"
畅快 changkuai ‘carefree’,5.33 (1.11),"Hp (95.8), Ot (4.2)","95.8, 0, 4.2",4.91 (1.08),"Hp (95.5), Ot (4.5)","90.9, 0, 9.1",5.29 (0.59),"Hp (53.3), Ot (46.7)","86.7, 0, 13.3"
怅惘 changwang ‘distracted’,4.77 (1.65),"Sd (54.5), Ax (27.3)","4.5, 59.1, 36.4",5.06 (0.78),"Ax (66.7), Un (14.3)","0, 77.8, 22.2",4.73 (1.48),"Sd (30), Un (25)","0, 73.3, 26.7"
缠绵 chanmian ‘lingering’,4.63 (1.65),"Hp (50), Ot (41.7)","29.2, 0, 70.8",3.86 (1.98),"Ot (63.6), Nu (22.7)","13.6, 0, 86.4",2.71 (2.02),"Nu (53.3), Ot (26.7)","14.3, 21.4, 64.3"
诧异 chayi ‘surprised’,5.58 (1.08),"Sp (100), NA (NA)","0, 20.8, 79.2",5.05 (1.15),"Sp (95.5), Fr (4.5)","0, 18.2, 81.8",4.53 (1.59),"Sp (66.7), Fr (13.3)","0, 33.3, 66.7"
沉静 chenjing ‘calm’,1.48 (0.93),"Nu (65.2), Ot (34.8)","17.4, 0, 82.6",1.32 (0.92),"Nu (81.8), Ot (18.2)","4.5, 0, 95.5",2.09 (1.47),"Nu (60.9), Ot (26.1)","9.1, 0, 90.9"
沉闷 chenmen ‘depressing’,3.7 (1.43),"Ot (47.8), Sd (26.1)","0, 65.2, 34.8",3.77 (1.41),"Ot (59.1), Dg (22.7)","0, 90.9, 9.1",4.09 (1.28),"Ot (52.2), Sd (30.4)","0, 69.6, 30.4"
沉痛 chentong ‘grief’,6.39 (0.97),"Sd (91.3), Ot (4.3)","4.3, 69.6, 26.1",6.19 (1.1),"Sd (95.5), Un (4.5)","0, 100, 0",5.67 (0.82),"Sd (68.4), Ot (26.3)","0, 88.9, 11.1"
称心 chenxin ‘satisfied’,4.04 (1.57),"Hp (82.6), Ot (13)","78.3, 0, 21.7",4 (1.22),"Hp (72.7), Ot (9.1)","90, 5, 5",4.06 (1.56),"Hp (47.4), Ot (26.3)","62.5, 6.3, 31.3"
称意 chenyi ‘satisfied’,4.45 (1.37),"Hp (90.9), Ot (9.1)","95.5, 0, 4.5",3.5 (1.17),"Hp (57.1), Un (23.8)","81.3, 0, 18.8",4.18 (1.54),"Hp (65), Ot (15)","88.2, 0, 11.8"
沉郁 chenyu ‘depressed’,5.04 (1),"Sd (82.6), Ax (8.7)","4.3, 69.6, 26.1",5.59 (0.83),"Sd (63.6), Ax (27.3)","0, 100, 0",5.05 (1.36),"Sd (56.5), Ot (13)","0, 95, 5"
沉重 chenzhong ‘melancholy’,5.41 (0.89),"Sd (63.6), Ax (22.7)","0, 72.7, 27.3",5.24 (1.41),"Sd (57.1), Ot (23.8)","0, 85.7, 14.3",4.65 (1.56),"Sd (50), Ax (25)","0, 70, 30"
吃惊 chijing ‘surprised’,4.65 (1.37),"Sp (100), NA (NA)","0, 0, 100",4.95 (1.07),"Sp (95.5), Fr (4.5)","4.5, 18.2, 77.3",5.13 (0.95),"Sp (100), NA (NA)","0, 30.4, 69.6"
炽烈 chilie ‘blazing’,6.05 (1.73),"Ot (59.1), Hp (22.7)","57.1, 4.8, 38.1",4 (2.4),"Ot (42.9), Un (23.8)","38.5, 0, 61.5",4.93 (2.08),"Ot (65), Un (25)","53.3, 0, 46.7"
痴迷 chimi ‘obsessed’,6.17 (1.43),"Hp (70.8), Ot (25)","16.7, 16.7, 66.7",5.36 (1.92),"Ot (59.1), Hp (27.3)","0, 50, 50",4.73 (2.08),"Ot (73.3), Nu (20)","0, 40, 60"
