pinyin,zh,eng,rad,mean_intensity,mean_intensity_sd,type1,type1_p,type2,type2_p,pos,neg,neu
aichou,哀愁,sad,1,5.25,1.3,Sd,100,NA,0,0,91.7,8.3
aihao,爱好,interested,0,4,1.86,Hp,77.3,Nu,18.2,68.2,0,31.8
aiqi,哀戚,sad,0,5.45,1.37,Sd,95.7,Un,4.3,0,77.3,22.7
aishang,哀伤,sad,0,5.21,1.04,Sd,95.8,Ax,4.2,0,79.2,20.8
aitong,哀痛,grief,0,6.18,0.83,Sd,100,NA,0,4.5,86.4,9.1
aiyuan,哀怨,sad,1,5.3,1,Sd,87,Ag,8.7,0,82.6,17.4
anning,安宁,peaceful,0,2.23,1.81,Nu,50,Ot,36.4,47.6,0,52.4
anxin,安心,relieved,1,3.57,1.81,Hp,43.5,Ot,43.5,82.6,0,17.4
aohui,懊悔,regretful,2,5,0.78,Ot,39.1,Sd,39.1,4.3,69.6,26.1
aonao,懊恼,annoyed,2,5.54,1,Ax,45.8,Sd,33.3,0,87.5,12.5
aosang,懊丧,depressed,2,5.18,1.07,Sd,47.8,Ot,34.8,0,81.8,18.2
aoxin,熬心,anxious,1,5.55,1.02,Ax,62.5,Un,16.7,10,80,10
bao,暴怒,rage,1,6.96,0.2,Ag,100,NA,0,0,87,13
baokui,抱愧,ashamed,2,4.96,1.3,Ot,52.2,Sd,26.1,8.7,52.2,39.1
baoqian,抱歉,apologetic,0,3.83,1.65,Ot,54.2,Sd,20.8,4.2,20.8,75
baoweiqu,抱委屈,feel,0,4.85,1.42,Sd,68.2,Ot,9.1,0,70,30
beiai,悲哀,sad,1,5.95,0.77,Sd,100,NA,0,0,86.4,13.6
beichou,悲愁,sad,1,5.74,0.9,Sd,91.3,Ot,4.3,0,69.6,30.4
beichuang,悲怆,grief,3,6.52,0.79,Sd,86.4,Ot,9.1,19,61.9,19
beifen,悲愤,sad,3,6.22,0.59,Ag,69.6,Sd,21.7,4.3,56.5,39.1
beihui,背悔,regretful,2,5.24,0.81,Sd,69.6,Dg,8.7,0,52.4,47.6
beiliang,悲凉,desolate,1,5.78,1.25,Sd,95.7,Ot,4.3,0,78.3,21.7
beiqi,悲凄,sad,1,6.09,0.85,Sd,95.5,Ax,4.5,0,95.5,4.5
beiqie,悲切,grief,1,6.17,0.7,Sd,87,Ot,8.7,0,60.9,39.1
beishang,悲伤,sad,1,5.38,1.18,Sd,100,NA,0,4.2,75,20.8
beitong,悲恸,grief,3,6.64,0.57,Sd,100,NA,0,4.5,86.4,9.1
beitong,悲痛,grief,1,6.29,0.73,Sd,95.8,Fr,4.2,0,87.5,12.5
beizhuang,悲壮,solemn,1,6.05,0.88,Sd,68.2,Ot,31.8,54.5,22.7,22.7
bibo,鄙薄,despise,0,5.58,1.26,Dg,91.7,Ot,4.2,4.2,87.5,8.3
biemen,憋闷,oppressed,1,4.55,1.37,Ax,39.1,Sd,17.4,0,86.4,13.6
bieqi,憋气,resentful,1,3.91,1.98,Ag,47.8,Ot,26.1,0,59.1,40.9
bishi,鄙视,contempt,0,5.48,1.25,Dg,95.7,Ag,4.3,0,95.7,4.3
biyi,鄙夷,disdain,0,5.96,0.89,Dg,91.7,Sp,8.3,0,95.8,4.2
buan,不安,restless,0,4.35,1.34,Ax,65.2,Fr,21.7,0,73.9,26.1
buguoyi,不过意,regretful,1,3.57,2.19,Un,68.2,Ot,13.6,0,42.9,57.1
buhaoguo,不好过,tough,0,4.5,1.26,Sd,75,Ax,12.5,0,87.5,12.5
buhaoyisi,不好意思,embarrassed,1,3.3,1.46,Ot,82.6,Nu,8.7,4.3,17.4,78.3
bukuai,不快,unhappy,2,4.17,1.24,Dg,47.8,Sd,34.8,0,87,13
buman,不满,dissatisfied,0,4.29,1.17,Dg,58.3,Ag,37.5,0,100,0
buping,不平,angry,0,4.09,1.16,Ag,63.6,Ot,18.2,9.1,36.4,54.5
buyue,不悦,unhappy,2,3.91,1.41,Dg,50,Ag,27.3,0,71.4,28.6
cangliang,苍凉,desolate,0,5.41,1.44,Sd,77.3,Ot,22.7,4.5,63.6,31.8
cankui,惭愧,ashamed,2,4.54,1.12,Ot,66.7,Sd,25,4.2,58.3,37.5
cantong,惨痛,painful,2,6.04,1.31,Sd,75,Ot,12.5,0,87.5,12.5
caoxin,操心,worried,1,4.17,1.49,Ax,73.9,Ot,8.7,4.3,43.5,52.2
changkuai,畅快,carefree,2,5.33,1.11,Hp,95.8,Ot,4.2,95.8,0,4.2
changwang,怅惘,distracted,2,4.77,1.65,Sd,54.5,Ax,27.3,4.5,59.1,36.4
chanmian,缠绵,lingering,0,4.63,1.65,Hp,50,Ot,41.7,29.2,0,70.8
chayi,诧异,surprised,0,5.58,1.08,Sp,100,NA,0,0,20.8,79.2
chenjing,沉静,calm,0,1.48,0.93,Nu,65.2,Ot,34.8,17.4,0,82.6
chenmen,沉闷,depressing,1,3.7,1.43,Ot,47.8,Sd,26.1,0,65.2,34.8
chentong,沉痛,grief,0,6.39,0.97,Sd,91.3,Ot,4.3,4.3,69.6,26.1
chenxin,称心,satisfied,1,4.04,1.57,Hp,82.6,Ot,13,78.3,0,21.7
chenyi,称意,satisfied,1,4.45,1.37,Hp,90.9,Ot,9.1,95.5,0,4.5
chenyu,沉郁,depressed,0,5.04,1,Sd,82.6,Ax,8.7,4.3,69.6,26.1
chenzhong,沉重,melancholy,0,5.41,0.89,Sd,63.6,Ax,22.7,0,72.7,27.3
chijing,吃惊,surprised,2,4.65,1.37,Sp,100,NA,0,0,0,100
